Xelaev18005255m|Xelaev18005255m.g
Xelaev18005256m|atp10d.L
Xelaev18005257m|corin.L
Xelaev18005258m|nfxl1.L
Xelaev18005259m|cnga1.L
Xelaev18005260m|nipal1.L
Xelaev18005261m|tec.L
Xelaev18005262m|slain2.L
Xelaev18005263m|Xelaev18005263m.g
Xelaev18005264m|slc10a4.L
Xelaev18005265m|zar1.L
Xelaev18005266m|fryl.L
Xelaev18005267m|Xetrov90000654m.L
Xelaev18005268m|ociad1.L
Xelaev18005270m|ociad2.L
Xelaev18005271m|lrrc66.L
Xelaev18005272m|sgcb.L
Xelaev18005274m|LOC100486035.L
Xelaev18005275m|Xelaev18005275m.g
Xelaev18005276m|rasl11b.L
Xelaev18005277m|Xelaev18005277m.g
Xelaev18005278m|scfd2.L
Xelaev18005279m|Xelaev18005279m.g
Xelaev18005280m|fip1l1.L
Xelaev18005281m|lnx1.L
Xelaev18005282m|Xelaev18005282m.g
Xelaev18005283m|chic2.L
Xelaev18005284m|gsx2.L
Xelaev18005286m|pdgfra.L
Xelaev18005287m|Xelaev18005287m.g
Xelaev18005288m|Xelaev18005288m.g
Xelaev18005289m|kdr.L
Xelaev18005290m|srd5a3.L
Xelaev18005291m|tmem165.L
Xelaev18005292m|clock.L
Xelaev18005293m|Xelaev18005293m.g
Xelaev18005294m|nmu.L
Xelaev18005295m|LOC100487667-like.L
Xelaev18005296m|Xetrov90000677m.L
Xelaev18005297m|Xelaev18005297m.g
Xelaev18005298m|loc644145.L
Xelaev18005299m|exoc1.L
Xelaev18005300m|cep135.L
Xelaev18005301m|Xelaev18005301m.g
Xelaev18005302m|kiaa1211.L
Xelaev18005303m|aasdh.L
Xelaev18005304m|paics.2.L
Xelaev18005305m|paics.1.L
Xelaev18005306m|ppat.L
Xelaev18005307m|lonrf1.L
Xelaev18005308m|kiaa1456l.L
Xelaev18005309m|dlc1.L
Xelaev18005310m|Xelaev18005310m.g
Xelaev18005311m|sgcz.L
Xelaev18005312m|Xelaev18005312m.g
Xelaev18005313m|tusc3.L
Xelaev18005314m|Xelaev18005314m.g
Xelaev18005315m|msr1.L
Xelaev18005316m|fgf20.L
Xelaev18005317m|micu3.L
Xelaev18005318m|zdhhc2.L
Xelaev18005319m|Xelaev18005319m.g
Xelaev18005320m|vps37a.L
Xelaev18005321m|mtmr7-like.L
Xelaev18005322m|slc7a2.1.L
Xelaev18005323m|Xelaev18005323m.g
Xelaev18005324m|pdgfrl.L
Xelaev18005325m|mtus1.L
Xelaev18005326m|Xelaev18005326m.g
Xelaev18005327m|fgl1.L
Xelaev18005328m|pcm1.L
Xelaev18005329m|gtf2e1.2.L
Xelaev18005330m|asah1.L
Xelaev18005332m|frg1.L
Xelaev18005333m|Xelaev18005333m.g
Xelaev18005334m|Xelaev18005334m.g
Xelaev18005335m|Xelaev18005335m.g
Xelaev18005336m|fat1.L
Xelaev18005337m|Xelaev18005337m.g
Xelaev18005338m|mtnr1a.L
Xelaev18005339m|klkb1.L
Xelaev18005340m|Xelaev18005340m.g
Xelaev18005341m|Xelaev18005341m.g
Xelaev18005342m|Xelaev18005342m.g
Xelaev18005343m|fam149a.L
Xelaev18005344m|fam149a-like.L
Xelaev18005345m|tlr3.L
Xelaev18005346m|sorbs2.L
Xelaev18005348m|Xelaev18005348m.g
Xelaev18005349m|c4orf47.L
Xelaev18005350m|ufsp2.L
Xelaev18005351m|ankrd37.L
Xelaev18005352m|snx25.L
Xelaev18005353m|cfap97.L
Xelaev18005354m|slc25a4.L
Xelaev18005355m|LOC100487093-like.L
Xelaev18005356m|Xelaev18005356m.g
Xelaev18005357m|helt.L
Xelaev18005358m|Xelaev18005358m.g
Xelaev18005359m|acsl1.L
Xelaev18005360m|Xelaev18005360m.g
Xelaev18005361m|cenpu.L
Xelaev18005362m|Xelaev18005362m.g
Xelaev18005363m|LOC100486222.L
Xelaev18005364m|Xelaev18005364m.g
Xelaev18005365m|Xelaev18005365m.g
Xelaev18005366m|primpol.L
Xelaev18005367m|casp3.L
Xelaev18005368m|Xelaev18005368m.g
Xelaev18005369m|irf2.L
Xelaev18005370m|Xelaev18005370m.g
Xelaev18005371m|enpp6.L
Xelaev18005372m|Xelaev18005372m.g
Xelaev18005373m|Xelaev18005373m.g
Xelaev18005374m|Xelaev18005374m.g
Xelaev18005375m|Xelaev18005375m.g
Xelaev18005376m|Xelaev18005376m.g
Xelaev18005377m|trappc11.L
Xelaev18005378m|rwdd4.L
Xelaev18005379m|LOC105945152.L
Xelaev18005380m|LOC101730828.L
Xelaev18005381m|Xelaev18005381m.g
Xelaev18005382m|ing2.L
Xelaev18005383m|Xelaev18005383m.g
Xelaev18005384m|LOC100487273.L
Xelaev18005385m|cdkn2aip.L
Xelaev18005386m|cldn22.L
Xelaev18005387m|cldn24.L
Xelaev18005388m|wwc2.L
Xelaev18005389m|dctd.L
Xelaev18005390m|Xetrov90000766m.L
Xelaev18005391m|Xelaev18005391m.g
Xelaev18005392m|Xetrov90002054m.L
Xelaev18005393m|aga.L
Xelaev18005394m|neil3.L
Xelaev18005395m|vegfc.L
Xelaev18005396m|spcs3.L
Xelaev18005397m|asb5.L
Xelaev18005398m|spata4.L
Xelaev18005399m|wdr17.L
Xelaev18005400m|gpm6a.L
Xelaev18005401m|glra3.L
Xelaev18005402m|Xelaev18005402m.g
Xelaev18005403m|hpgd.L
Xelaev18005404m|cep44.L
Xelaev18005405m|fbxo8.L
Xelaev18005407m|hand2.L
Xelaev18005408m|scrg1.L
Xelaev18005409m|sap30.L
Xelaev18005411m|hmgb2.L
Xelaev18005412m|galnt7.L
Xelaev18005413m|galntl6.L
Xelaev18005414m|aadat.L
Xelaev18005415m|mfap3l.L
Xelaev18005416m|Xelaev18005416m.g
Xelaev18005417m|c4orf27.L
Xelaev18005418m|clcn3.L
Xelaev18005419m|nek1.L
Xelaev18005420m|sh3rf1.L
Xelaev18005421m|Xelaev18005421m.g
Xelaev18005422m|cbr4.L
Xelaev18005424m|palld.L
Xelaev18005425m|Xelaev18005425m.g
Xelaev18005426m|Xetrov90000814m.L
Xelaev18005427m|palld-like.L
Xelaev18005428m|Xetrov90000818m.L
Xelaev18005429m|Xelaev18005429m.g
Xelaev18005430m|ddx60.L
Xelaev18005431m|LOC100488610.L
Xelaev18005432m|anxa10.L
Xelaev18005433m|npy5r.L
Xelaev18005434m|Xelaev18005434m.g
Xelaev18005435m|npy1r.L
Xelaev18005436m|naf1.L
Xelaev18005437m|Xelaev18005437m.g
Xelaev18005438m|fstl5.L
Xelaev18005439m|rapgef2.L
Xelaev18005440m|Xetrov90030362m.L
Xelaev18005441m|c4orf45.L
Xelaev18005442m|fnip2.L
Xelaev18005443m|ppid.L
Xelaev18005444m|etfdh.L
Xelaev18005445m|Xelaev18005445m.g
Xelaev18005446m|rxfp1.L
Xelaev18005447m|tmem144.L
Xelaev18005448m|fam198b.L
Xelaev18005449m|Xetrov90000859m.L
Xelaev18005450m|glrb.L
Xelaev18005451m|pdgfc.L
Xelaev18005452m|ctso.L
Xelaev18005453m|tdo2.L
Xelaev18005454m|gucy1b3.L
Xelaev18005455m|gucy1a3.L
Xelaev18005456m|map9.L
Xelaev18005457m|Xelaev18005457m.g
Xelaev18005458m|npy2r-like.1.L
Xelaev18005459m|rbm46.L
Xelaev18005460m|LOC100498510.L
Xelaev18005461m|lrat.L
Xelaev18005462m|LOC100485002.L
Xelaev18005463m|Xelaev18005463m.g
Xelaev18005464m|LOC100485159-like.L
Xelaev18005465m|fgg.L
Xelaev18005466m|fga.L
Xelaev18005467m|fgb.L
Xelaev18005468m|plrg1.L
Xelaev18005469m|dchs2.L
Xelaev18005470m|sfrp2.L
Xelaev18005471m|Xelaev18005471m.g
Xelaev18005472m|tlr2.L
Xelaev18005473m|LOC100485927.L
Xelaev18005474m|kiaa0922.L
Xelaev18005475m|Xelaev18005475m.g
Xelaev18005476m|Xelaev18005476m.g
Xelaev18005477m|Xelaev18005477m.g
Xelaev18005478m|mnd1.L
Xelaev18005479m|trim2.L
Xelaev18005481m|fhdc1.L
Xelaev18005482m|Xelaev18005482m.g
Xelaev18005483m|arfip1.L
Xelaev18005484m|Xelaev18005484m.g
